Incident Category,Incident Day of Week,Incident Year,Analysis Neighborhood,Longitude,Latitude,Report Type Description
Fraud,Friday,2018,Pacific Heighs,-122.4243405,37.79196537,Initial
Robbery,Saturday,2018,Mission Bay,-122.3913735,37.77283099,Initial Supplement
Assault,Thursday,2018,Presidio Heights,-122.4427931,37.78288534,Initial
Fraud,Saturday,2018,Visitacion Valley,-122.4020958,37.7135082,Initial Supplement
Robbery,Saturday,2018,Tenderloin,-122.4193969,37.77542222,Initial
Assault,Thursday,2018,Outer Richmond,-122.479383,37.78033469,Initial Supplement
Robbery,Wednesday,2018,Mission,-122.4237572,37.75513652,Initial
Fraud,Friday,2018,Potrero Hill,-122.3984612,37.76246287,Initial Supplement
Fraud,Sunday,2018,Inner Richmond,-122.4664269,37.78092459,Initial
Stolen Property,Saturday,2018,Mission,-122.4208121,37.75370309,Initial
Assault,Monday,2018,Hayes Valley,-122.438177,37.77685589,Initial
Assault,Friday,2018,South of Market,-122.4150017,37.77264947,Initial Supplement
Assault,Wednesday,2018,Mission Bay,-122.3958264,37.76716596,Initial
Fraud,Wednesday,2018,Western Addition,-122.4400269,37.77758677,Initial
Assault,Monday,2018,West of Twin Peaks,-122.4612603,37.74463722,Initial
Robbery,Saturday,2018,Visitacion Valley,-122.4209265,37.70854867,Initial
Robbery,Wednesday,2018,Haight Ashbury,-122.4473124,37.77187774,Initial
Assault,Thursday,2018,Mission,-122.4158628,37.74821215,Initial
Assault,Saturday,2018,Outer Mission,-122.4425537,37.72316831,Initial
Fraud,Thursday,2018,South of Market,-122.414711,37.77623052,Initial
Assault,Thursday,2018,Tenderloin,-122.4162597,37.78537597,Initial
Stolen Property,Tuesday,2018,Russian Hill,-122.4236551,37.80528698,Initial
Assault,Thursday,2018,Mission,-122.4120473,37.75423033,Initial
Fraud,Monday,2018,Western Addition,-122.4413395,37.78123547,Initial
Fraud,Sunday,2018,Presidio Heights,-122.4467928,37.78726185,Initial
Assault,Sunday,2018,Mission,-122.4194437,37.76271287,Initial
Robbery,Tuesday,2018,Chinatown,-122.4079033,37.7940603,Initial Supplement
Assault,Monday,2018,Mission,-122.4091299,37.75279558,Initial
Fraud,Wednesday,2018,Hayes Valley,-122.4275464,37.77438847,Initial
Robbery,Monday,2018,Hayes Valley,-122.428614,37.77138333,Initial Supplement
